
RC201.txt;1295,28;12,38;8
RC201.txt;1319,49;5,26;8
RC201.txt;1304,42;4,88;8
RC201.txt;1292,48;4,74;8
RC201.txt;1297,25;4,29;8
RC201.txt;1293,38;4,35;9
RC201.txt;1286,29;4,44;8
RC201.txt;1378,70;4,37;7
RC201.txt;1314,50;5,77;7
RC201.txt;1417,56;6,66;6
RC201.txt;1295,28;15,95;8
RC201.txt;1319,49;6,88;8
RC201.txt;1304,42;5,23;8
RC201.txt;1292,48;5,43;8
RC201.txt;1297,25;5,49;8
RC201.txt;1293,38;5,42;9
RC201.txt;1286,29;5,12;8
RC201.txt;1378,70;5,03;7
RC201.txt;1314,50;5,03;7
RC201.txt;1417,56;4,86;6
RC201.txt;1281,78;71,92;8
RC201.txt;1291,96;68,16;8
RC201.txt;1289,28;62,79;8
RC201.txt;1279,25;69,25;9
RC201.txt;1285,25;78,72;8
RC201.txt;1290,86;77,47;8
RC201.txt;1291,63;67,56;8
RC201.txt;1287,13;61,03;8
RC201.txt;1287,80;64,57;8
RC201.txt;1288,32;80,18;8
